Date,Bike trips,Total distance (m),Total duration (sec),Mean departure temperature (C),Mean return temperature (C),Electric bike trips
2021-12-20,920,2035752.67,979067.0,,,
2021-12-21,581,1187546.33,531617.0,,,
2021-12-22,535,1262408.33,646799.0,,,
2021-12-23,942,2110742.67,931852.0,,,
2021-12-24,398,814810.0,321290.0,,,
2021-12-25,151,324565.0,148704.0,,,
2021-12-26,68,104455.0,227603.0,,,
2021-12-27,122,226277.0,235001.0,,,
2021-12-28,215,474912.0,364471.0,,,
2021-12-29,319,694085.0,385104.0,,,
2021-12-30,93,168835.0,600366.0,,,
2021-12-31,89,219103.0,114444.0,,,
2022-01-01,135,293662.0,185052.0,,,
2022-01-02,111,228470.0,167969.0,5.828828828828829,6.126126126126126,
2022-01-03,336,739335.66,314594.0,5.5148809523809526,6.1726190476190474,
2022-01-04,181,362765.0,154335.0,3.6629834254143647,4.2707182320441985,
2022-01-05,190,380899.33,317428.0,1.831578947368421,2.3947368421052633,
2022-01-06,82,164481.0,116734.0,4.841463414634147,5.304878048780488,
2022-01-07,363,844728.0,492922.0,5.316804407713499,6.148760330578512,
2022-01-08,178,360683.0,695509.0,3.691011235955056,4.758426966292135,
2022-01-09,669,1785995.0,911059.0,7.754857997010463,8.121076233183857,
2022-01-10,320,629178.0,303071.0,7.48125,8.4375,
2022-01-11,363,783956.67,374788.0,10.242424242424242,11.115702479338843,
2022-01-12,325,678620.67,234418.0,11.486153846153845,12.252307692307692,
2022-01-13,1068,2685464.0,1153924.0,11.655430711610487,12.313670411985019,
2022-01-14,1057,2579904.0,1658078.0,10.51844843897824,11.327341532639545,
2022-01-15,887,2256615.0,1492354.0,9.038331454340474,9.66967305524239,
2022-01-16,797,2154853.33,1117656.0,8.766624843161857,9.393977415307402,
2022-01-17,743,1581414.0,743292.0,8.861372812920592,9.77792732166891,
2022-01-18,562,1257956.0,477589.0,8.822064056939501,9.830960854092528,
2022-01-19,710,1660847.0,723166.0,9.736619718309859,10.664788732394365,
2022-01-20,1128,2690839.33,978539.0,10.706560283687944,11.472517730496454,
2022-01-21,1129,2619799.0,1044514.0,9.038972542072631,9.884853852967227,
2022-01-22,1702,4444274.34,2175605.0,9.13807285546416,9.341363102232668,
2022-01-23,887,2134008.34,912376.0,6.085682074408117,6.765501691093574,
2022-01-24,1007,2208198.0,945032.0,5.46077457795432,6.334657398212513,
2022-01-25,1056,2319039.0,1235709.0,5.1543560606060606,5.971590909090909,
2022-01-26,1121,2570427.0,1032259.0,5.991079393398751,6.614629794826048,
2022-01-27,1165,2750789.0,1296663.0,6.304721030042918,6.932188841201716,
2022-01-28,1201,2935895.0,1223110.0,7.693588676103247,8.475437135720233,
2022-01-29,963,2657676.0,1700431.0,8.214953271028037,9.073727933541017,
2022-01-30,275,631290.67,214683.0,7.6,8.654545454545454,
2022-01-31,1181,2879033.67,1247310.0,8.240474174428451,8.89415749364945,
2022-02-01,1273,2854670.66,1827459.0,6.514532600157109,7.246661429693637,
2022-02-02,690,1477379.33,645821.0,3.601449275362319,4.533333333333333,
2022-02-03,600,1310289.0,522130.0,7.12,8.156666666666666,
2022-02-04,758,1586376.67,1048423.0,7.924802110817942,8.977572559366754,
2022-02-05,1311,3459324.33,1774695.0,9.443935926773456,10.074752097635393,
2022-02-06,1664,4651051.33,2247350.0,10.35516826923077,10.23798076923077,
2022-02-07,1211,2744881.0,1081648.0,12.124690338563171,12.755573905862923,
2022-02-08,867,1968435.0,856710.0,8.829296424452133,9.782006920415226,
2022-02-09,1104,2526250.0,1047662.0,9.907608695652174,10.860507246376812,
2022-02-10,970,2281175.0,850112.0,8.783505154639176,9.801030927835052,
2022-02-11,1668,4081606.66,1806591.0,9.793764988009592,10.467026378896882,
2022-02-12,2032,5480321.33,3250294.0,10.924704724409448,10.714074803149606,
2022-02-13,1692,4892046.0,2251621.0,12.317375886524824,12.321513002364066,
2022-02-14,968,2256949.0,857443.0,9.367768595041323,10.24690082644628,
2022-02-15,1348,3017479.0,1260041.0,10.067507418397627,10.781157270029674,
2022-02-16,1402,3390937.0,1774332.0,9.663338088445078,10.323823109843081,
2022-02-17,1286,3102189.67,1199452.0,9.852255054432348,10.669517884914464,
2022-02-18,1512,3688546.0,1609929.0,10.338624338624339,11.005291005291005,
2022-02-19,739,1661578.0,845511.0,7.958051420838972,8.619756427604871,
2022-02-20,1983,5720215.67,3021033.0,10.479576399394857,10.285426122037316,
2022-02-21,1496,4271452.33,1874670.0,9.142379679144385,9.185828877005347,
2022-02-22,1347,3007942.33,1488102.0,4.933927245731255,5.164810690423162,
2022-02-23,1100,2425806.33,1186944.0,3.33,3.848181818181818,
2022-02-24,1084,2495606.0,1131630.0,6.302583025830258,6.43450184501845,
2022-02-25,1551,4017762.34,2046517.0,7.468729851708575,7.611218568665377,
2022-02-26,842,2117099.0,1020158.0,8.111638954869358,8.983372921615201,
